"행정구역","2023년01월_거주자_총인구수","2023년01월_거주자_연령구간인구수","2023년01월_거주자_0~9세","2023년01월_거주자_10~19세","2023년01월_거주자_20~29세","2023년01월_거주자_30~39세","2023년01월_거주자_40~49세","2023년01월_거주자_50~59세","2023년01월_거주자_60~69세","2023년01월_거주자_70~79세","2023년01월_거주자_80~89세","2023년01월_거주자_90~99세","2023년01월_거주자_100세 이상","2023년01월_남_거주자_총인구수","2023년01월_남_거주자_연령구간인구수","2023년01월_남_거주자_0~9세","2023년01월_남_거주자_10~19세","2023년01월_남_거주자_20~29세","2023년01월_남_거주자_30~39세","2023년01월_남_거주자_40~49세","2023년01월_남_거주자_50~59세","2023년01월_남_거주자_60~69세","2023년01월_남_거주자_70~79세","2023년01월_남_거주자_80~89세","2023년01월_남_거주자_90~99세","2023년01월_남_거주자_100세 이상","2023년01월_여_거주자_총인구수","2023년01월_여_거주자_연령구간인구수","2023년01월_여_거주자_0~9세","2023년01월_여_거주자_10~19세","2023년01월_여_거주자_20~29세","2023년01월_여_거주자_30~39세","2023년01월_여_거주자_40~49세","2023년01월_여_거주자_50~59세","2023년01월_여_거주자_60~69세","2023년01월_여_거주자_70~79세","2023년01월_여_거주자_80~89세","2023년01월_여_거주자_90~99세","2023년01월_여_거주자_100세 이상"
"대구광역시 북구 (2723000000)","428,818","428,818","28,857","41,078","58,942","50,075","66,674","77,457","59,797","29,843","14,407","1,646","42","212,865","212,865","14,689","21,191","31,784","26,792","32,755","38,117","29,108","12,903","5,184","340","2","215,953","215,953","14,168","19,887","27,158","23,283","33,919","39,340","30,689","16,940","9,223","1,306","40"
"대구광역시 북구 고성동(2723051000)","4,634","4,634","319","323","465","668","639","713","731","511","233","31","1","2,226","2,226","155","156","251","345","334","361","328","213","74","9","0","2,408","2,408","164","167","214","323","305","352","403","298","159","22","1"
"대구광역시 북구 칠성동(2723052600)","22,929","22,929","2,006","2,124","2,632","3,351","4,086","3,278","2,778","1,631","918","122","3","10,921","10,921","968","1,048","1,270","1,655","1,990","1,589","1,334","692","350","25","0","12,008","12,008","1,038","1,076","1,362","1,696","2,096","1,689","1,444","939","568","97","3"
"대구광역시 북구 침산1동(2723055000)","3,934","3,934","138","191","398","413","425","779","923","448","194","23","2","2,086","2,086","78","105","232","257","245","396","492","219","56","6","0","1,848","1,848","60","86","166","156","180","383","431","229","138","17","2"
"대구광역시 북구 침산2동(2723056000)","18,326","18,326","1,842","2,309","1,884","2,303","3,524","2,862","1,965","1,058","515","61","3","8,836","8,836","925","1,182","973","1,104","1,671","1,408","894","445","218","15","1","9,490","9,490","917","1,127","911","1,199","1,853","1,454","1,071","613","297","46","2"
"대구광역시 북구 침산3동(2723057000)","19,300","19,300","1,468","2,137","2,118","1,968","3,226","3,435","2,608","1,516","741","78","5","9,271","9,271","760","1,090","1,112","961","1,518","1,662","1,236","634","285","13","0","10,029","10,029","708","1,047","1,006","1,007","1,708","1,773","1,372","882","456","65","5"
"대구광역시 북구 산격1동(2723061000)","8,696","8,696","185","379","809","685","906","1,666","2,009","1,332","670","54","1","4,307","4,307","86","202","471","400","535","863","990","513","232","15","0","4,389","4,389","99","177","338","285","371","803","1,019","819","438","39","1"
"대구광역시 북구 산격2동(2723062000)","10,481","10,481","485","783","1,431","1,108","1,297","2,068","1,884","940","439","45","1","5,098","5,098","237","393","791","623","618","953","911","406","153","13","0","5,383","5,383","248","390","640","485","679","1,115","973","534","286","32","1"
"대구광역시 북구 산격3동(2723063000)","9,186","9,186","211","512","2,791","1,119","928","1,145","1,284","779","365","52","0","4,833","4,833","106","249","1,549","713","538","603","606","329","122","18","0","4,353","4,353","105","263","1,242","406","390","542","678","450","243","34","0"
"대구광역시 북구 산격4동(2723063100)","8,127","8,127","230","438","1,136","955","986","1,378","1,594","931","422","55","2","4,266","4,266","120","257","649","614","574","710","731","425","175","11","0","3,861","3,861","110","181","487","341","412","668","863","506","247","44","2"
"대구광역시 북구 대현동(2723064500)","16,853","16,853","876","1,139","2,806","1,785","2,334","2,601","2,606","1,660","931","113","2","8,500","8,500","418","578","1,730","996","1,214","1,316","1,193","685","340","29","1","8,353","8,353","458","561","1,076","789","1,120","1,285","1,413","975","591","84","1"
"대구광역시 북구 복현1동(2723067100)","7,347","7,347","148","299","2,513","1,004","733","1,030","959","439","200","22","0","4,085","4,085","86","159","1,471","659","433","537","456","197","80","7","0","3,262","3,262","62","140","1,042","345","300","493","503","242","120","15","0"
"대구광역시 북구 복현2동(2723067200)","30,902","30,902","2,286","3,170","4,303","4,052","4,772","5,317","4,284","1,810","796","110","2","15,295","15,295","1,167","1,630","2,366","2,171","2,265","2,512","2,063","815","289","17","0","15,607","15,607","1,119","1,540","1,937","1,881","2,507","2,805","2,221","995","507","93","2"
"대구광역시 북구 검단동(2723068000)","6,223","6,223","212","349","639","673","788","1,056","1,338","760","373","35","0","3,090","3,090","107","185","351","397","444","540","594","326","142","4","0","3,133","3,133","105","164","288","276","344","516","744","434","231","31","0"
"대구광역시 북구 무태조야동(2723069500)","35,727","35,727","3,046","3,695","4,023","4,156","6,494","6,663","4,417","2,277","869","86","1","18,199","18,199","1,578","1,891","2,171","2,194","3,230","3,563","2,167","1,063","331","11","0","17,528","17,528","1,468","1,804","1,852","1,962","3,264","3,100","2,250","1,214","538","75","1"
"대구광역시 북구 관문동(2723071500)","35,753","35,753","3,920","3,336","3,379","5,191","6,462","5,790","4,705","2,054","804","109","3","17,755","17,755","2,004","1,692","1,840","2,606","3,336","2,796","2,262","933","268","18","0","17,998","17,998","1,916","1,644","1,539","2,585","3,126","2,994","2,443","1,121","536","91","3"
"대구광역시 북구 태전1동(2723072500)","21,788","21,788","1,062","1,679","3,922","2,461","2,771","4,007","3,395","1,610","769","109","3","10,879","10,879","560","855","2,001","1,399","1,411","1,951","1,672","721","287","22","0","10,909","10,909","502","824","1,921","1,062","1,360","2,056","1,723","889","482","87","3"
"대구광역시 북구 태전2동(2723073500)","23,887","23,887","1,331","2,251","3,424","2,569","3,463","4,548","3,683","1,748","790","78","2","11,656","11,656","694","1,187","1,793","1,389","1,669","2,125","1,755","726","302","16","0","12,231","12,231","637","1,064","1,631","1,180","1,794","2,423","1,928","1,022","488","62","2"
"대구광역시 북구 구암동(2723074500)","34,104","34,104","2,052","4,380","4,899","3,172","5,690","7,263","3,959","1,650","932","105","2","16,678","16,678","1,004","2,283","2,612","1,653","2,563","3,534","2,029","669","309","22","0","17,426","17,426","1,048","2,097","2,287","1,519","3,127","3,729","1,930","981","623","83","2"
"대구광역시 북구 관음동(2723075000)","15,912","15,912","686","1,348","2,069","1,542","2,057","3,327","2,887","1,235","698","59","4","8,029","8,029","361","699","1,159","885","1,053","1,625","1,444","571","223","9","0","7,883","7,883","325","649","910","657","1,004","1,702","1,443","664","475","50","4"
"대구광역시 북구 읍내동(2723077000)","26,033","26,033","1,426","2,209","3,904","3,087","3,304","5,214","4,110","1,737","944","94","4","12,869","12,869","748","1,180","2,094","1,672","1,556","2,452","2,041","773","337","16","0","13,164","13,164","678","1,029","1,810","1,415","1,748","2,762","2,069","964","607","78","4"
"대구광역시 북구 동천동(2723078000)","27,254","27,254","1,813","3,787","3,936","2,622","4,877","5,783","2,508","1,188","675","65","0","13,230","13,230","952","1,976","2,091","1,303","2,122","2,832","1,273","442","225","14","0","14,024","14,024","861","1,811","1,845","1,319","2,755","2,951","1,235","746","450","51","0"
"대구광역시 북구 노원동(2723079000)","11,007","11,007","505","535","1,067","1,351","1,409","1,978","2,372","1,299","437","54","0","5,739","5,739","256","278","569","813","815","1,023","1,194","597","181","13","0","5,268","5,268","249","257","498","538","594","955","1,178","702","256","41","0"
"대구광역시 북구 국우동(2723080000)","30,415","30,415","2,610","3,705","4,394","3,840","5,503","5,556","2,798","1,230","692","86","1","15,017","15,017","1,319","1,916","2,238","1,983","2,621","2,766","1,443","509","205","17","0","15,398","15,398","1,291","1,789","2,156","1,857","2,882","2,790","1,355","721","487","69","1"
