"행정구역","2023년01월_거주자_총인구수","2023년01월_거주자_연령구간인구수","2023년01월_거주자_0~9세","2023년01월_거주자_10~19세","2023년01월_거주자_20~29세","2023년01월_거주자_30~39세","2023년01월_거주자_40~49세","2023년01월_거주자_50~59세","2023년01월_거주자_60~69세","2023년01월_거주자_70~79세","2023년01월_거주자_80~89세","2023년01월_거주자_90~99세","2023년01월_거주자_100세 이상"
"인천광역시 부평구 (2823700000)","487,143","487,143","29,002","40,493","64,445","68,464","73,281","86,283","73,851","33,103","15,859","2,287","75"
"인천광역시 부평구 부평1동(2823751000)","35,563","35,563","1,988","2,626","5,304","5,715","5,251","5,988","5,007","2,324","1,179","174","7"
"인천광역시 부평구 부평2동(2823752000)","14,563","14,563","700","1,076","1,975","2,013","2,147","2,516","2,289","1,278","513","55","1"
"인천광역시 부평구 부평3동(2823753000)","12,290","12,290","553","734","1,484","1,595","1,714","2,152","2,190","1,160","602","103","3"
"인천광역시 부평구 부평4동(2823754000)","35,999","35,999","2,128","2,292","5,581","6,418","5,422","5,846","4,823","2,296","1,059","131","3"
"인천광역시 부평구 부평5동(2823755000)","31,485","31,485","2,294","2,196","4,699","5,696","5,132","4,936","3,927","1,696","796","109","4"
"인천광역시 부평구 부평6동(2823756000)","14,405","14,405","925","854","1,845","2,236","2,174","2,401","2,298","1,045","566","61","0"
"인천광역시 부평구 산곡1동(2823757000)","14,455","14,455","1,118","1,062","1,618","2,565","2,145","2,270","2,164","960","476","73","4"
"인천광역시 부평구 산곡2동(2823758000)","30,189","30,189","2,178","3,556","3,641","3,303","5,179","5,340","4,298","1,812","770","111","1"
"인천광역시 부평구 산곡3동(2823758100)","21,244","21,244","953","1,862","2,540","2,212","2,773","3,826","3,846","1,939","1,099","184","10"
"인천광역시 부평구 산곡4동(2823758200)","17,086","17,086","979","1,645","2,265","1,988","2,529","3,164","2,663","1,124","630","96","3"
"인천광역시 부평구 청천1동(2823759100)","6,549","6,549","265","458","793","772","939","1,337","1,241","491","220","32","1"
"인천광역시 부평구 청천2동(2823759200)","34,706","34,706","2,462","2,875","4,418","5,183","5,149","6,195","5,227","2,091","952","150","4"
"인천광역시 부평구 갈산1동(2823764100)","16,091","16,091","736","1,149","2,329","2,196","2,221","3,164","2,612","1,104","512","64","4"
"인천광역시 부평구 갈산2동(2823764200)","17,985","17,985","949","1,344","2,104","2,457","2,358","3,167","3,376","1,445","653","126","6"
"인천광역시 부평구 삼산1동(2823764600)","32,390","32,390","1,859","3,229","4,220","3,646","5,080","6,228","4,814","2,035","1,090","184","5"
"인천광역시 부평구 삼산2동(2823764800)","28,102","28,102","1,904","3,949","3,529","2,612","5,083","5,585","3,327","1,331","667","110","5"
"인천광역시 부평구 부개1동(2823765000)","16,425","16,425","763","1,047","1,912","2,103","2,306","2,816","3,123","1,596","682","74","3"
"인천광역시 부평구 부개2동(2823766000)","19,555","19,555","1,330","1,660","2,490","2,812","3,066","3,370","2,861","1,331","569","63","3"
"인천광역시 부평구 부개3동(2823766100)","29,663","29,663","1,499","2,815","4,223","3,884","4,489","5,806","4,239","1,716","841","150","1"
"인천광역시 부평구 일신동(2823767000)","12,123","12,123","835","979","1,468","1,599","1,711","1,988","2,176","916","398","53","0"
"인천광역시 부평구 십정1동(2823768000)","24,326","24,326","1,657","1,696","3,323","4,813","3,382","3,888","3,263","1,500","712","89","3"
"인천광역시 부평구 십정2동(2823769000)","21,949","21,949","927","1,389","2,684","2,646","3,031","4,300","4,087","1,913","873","95","4"
