"행정구역","2023년12월_거주자_총인구수","2023년12월_거주자_연령구간인구수","2023년12월_거주자_0~9세","2023년12월_거주자_10~19세","2023년12월_거주자_20~29세","2023년12월_거주자_30~39세","2023년12월_거주자_40~49세","2023년12월_거주자_50~59세","2023년12월_거주자_60~69세","2023년12월_거주자_70~79세","2023년12월_거주자_80~89세","2023년12월_거주자_90~99세","2023년12월_거주자_100세 이상"
"인천광역시 남동구 (2820000000)","489,458","489,458","29,554","46,069","59,829","61,032","79,455","86,061","75,026","34,661","15,388","2,311","72"
"인천광역시 남동구 구월1동(2820051000)","31,082","31,082","2,224","3,100","3,873","4,149","5,514","4,940","4,412","1,921","799","143","7"
"인천광역시 남동구 구월2동(2820052000)","35,535","35,535","2,853","4,482","3,948","4,115","6,362","5,978","4,734","2,142","797","120","4"
"인천광역시 남동구 구월3동(2820052100)","28,365","28,365","1,163","1,623","5,921","5,325","4,407","4,376","3,302","1,534","636","77","1"
"인천광역시 남동구 구월4동(2820052200)","13,396","13,396","371","782","1,717","1,447","1,789","2,657","2,590","1,352","596","93","2"
"인천광역시 남동구 간석1동(2820053000)","16,715","16,715","679","1,134","2,114","2,344","2,420","2,886","2,754","1,529","724","129","2"
"인천광역시 남동구 간석2동(2820054000)","20,641","20,641","1,178","1,962","2,370","2,341","3,342","3,643","3,281","1,696","732","94","2"
"인천광역시 남동구 간석3동(2820055000)","25,649","25,649","1,181","1,762","3,246","3,231","3,627","4,855","4,428","2,213","979","122","5"
"인천광역시 남동구 간석4동(2820055100)","27,896","27,896","1,431","2,110","3,730","3,666","4,180","5,002","4,536","2,160","940","136","5"
"인천광역시 남동구 만수1동(2820056000)","15,877","15,877","615","850","1,826","1,928","2,021","2,973","3,091","1,556","895","122","0"
"인천광역시 남동구 만수2동(2820057000)","22,882","22,882","1,245","2,229","2,683","2,513","3,650","4,210","3,813","1,735","696","105","3"
"인천광역시 남동구 만수3동(2820058000)","16,507","16,507","945","1,486","2,055","1,942","2,489","2,939","2,798","1,269","499","85","0"
"인천광역시 남동구 만수4동(2820058100)","19,203","19,203","963","1,580","2,244","2,389","2,758","3,391","3,469","1,587","701","116","5"
"인천광역시 남동구 만수5동(2820058200)","14,479","14,479","487","820","1,793","1,691","1,781","2,672","2,872","1,611","670","80","2"
"인천광역시 남동구 만수6동(2820058300)","22,593","22,593","883","1,941","2,705","2,366","3,008","4,500","4,227","1,757","1,025","176","5"
"인천광역시 남동구 장수서창동(2820065000)","18,906","18,906","1,157","2,044","1,989","1,893","3,027","3,369","3,223","1,468","635","97","4"
"인천광역시 남동구 서창2동(2820065500)","37,963","37,963","4,304","4,511","3,021","5,407","8,215","5,072","4,672","1,985","673","98","5"
"인천광역시 남동구 남촌도림동(2820066000)","19,954","19,954","902","1,599","2,411","2,070","2,757","4,055","3,638","1,612","784","123","3"
"인천광역시 남동구 논현1동(2820069000)","30,690","30,690","2,174","3,346","3,596","3,719","5,265","5,625","4,237","1,770","823","128","7"
"인천광역시 남동구 논현2동(2820070000)","31,244","31,244","1,656","2,978","4,137","4,130","4,945","5,607","4,472","2,108","1,051","155","5"
"인천광역시 남동구 논현고잔동(2820071000)","39,881","39,881","3,143","5,730","4,450","4,366","7,898","7,311","4,477","1,656","733","112","5"
