"행정구역","2023년12월_거주자_총인구수","2023년12월_거주자_연령구간인구수","2023년12월_거주자_0~9세","2023년12월_거주자_10~19세","2023년12월_거주자_20~29세","2023년12월_거주자_30~39세","2023년12월_거주자_40~49세","2023년12월_거주자_50~59세","2023년12월_거주자_60~69세","2023년12월_거주자_70~79세","2023년12월_거주자_80~89세","2023년12월_거주자_90~99세","2023년12월_거주자_100세 이상"
"인천광역시 미추홀구 (2817700000)","403,416","403,416","23,459","31,171","51,634","54,937","61,885","66,899","62,157","33,021","15,919","2,271","63"
"인천광역시 미추홀구 숭의2동(2817751000)","13,712","13,712","836","907","1,606","1,815","2,072","2,247","2,242","1,235","669","79","4"
"인천광역시 미추홀구 숭의1.3동(2817752000)","15,658","15,658","1,148","978","2,034","2,591","2,404","2,612","2,129","1,042","622","95","3"
"인천광역시 미추홀구 숭의4동(2817753000)","14,981","14,981","805","1,171","1,705","1,886","2,236","2,493","2,438","1,437","695","112","3"
"인천광역시 미추홀구 용현1.4동(2817754000)","17,027","17,027","477","901","4,421","1,618","1,741","2,370","2,672","1,788","921","114","4"
"인천광역시 미추홀구 용현2동(2817755000)","19,419","19,419","1,620","1,348","2,330","3,444","2,846","2,798","2,605","1,619","706","102","1"
"인천광역시 미추홀구 용현3동(2817756000)","7,077","7,077","217","306","891","825","822","1,159","1,389","919","479","69","1"
"인천광역시 미추홀구 용현5동(2817757000)","45,741","45,741","2,998","4,906","6,087","5,491","7,810","7,788","6,178","2,906","1,389","185","3"
"인천광역시 미추홀구 학익1동(2817758000)","29,292","29,292","1,712","3,193","3,555","2,911","4,682","5,573","4,383","2,156","990","131","6"
"인천광역시 미추홀구 학익2동(2817759000)","17,712","17,712","798","1,469","2,129","1,900","2,532","3,198","2,985","1,688","875","134","4"
"인천광역시 미추홀구 도화1동(2817760000)","20,963","20,963","1,217","1,475","2,535","3,052","3,169","3,499","3,187","1,791","896","140","2"
"인천광역시 미추홀구 도화2.3동(2817761000)","31,211","31,211","2,622","2,581","3,372","4,841","5,415","4,580","4,578","2,146","949","123","4"
"인천광역시 미추홀구 주안1동(2817762000)","19,504","19,504","998","851","3,520","3,998","3,114","2,997","2,497","1,007","457","63","2"
"인천광역시 미추홀구 주안2동(2817763000)","21,766","21,766","1,345","1,446","2,462","3,382","3,207","3,428","3,516","1,950","897","129","4"
"인천광역시 미추홀구 주안3동(2817764000)","12,176","12,176","747","901","1,390","1,982","1,844","1,865","1,811","1,107","469","59","1"
"인천광역시 미추홀구 주안4동(2817765000)","17,612","17,612","1,207","1,083","1,803","2,703","2,615","2,692","2,841","1,721","826","120","1"
"인천광역시 미추홀구 주안5동(2817766000)","19,677","19,677","919","1,136","2,532","3,022","2,824","3,321","3,292","1,656","833","135","7"
"인천광역시 미추홀구 주안6동(2817767000)","20,880","20,880","1,356","1,791","2,402","2,925","3,557","3,261","3,118","1,603","747","118","2"
"인천광역시 미추홀구 주안7동(2817768000)","11,536","11,536","355","780","1,217","1,103","1,550","2,093","2,306","1,344","690","93","5"
"인천광역시 미추홀구 주안8동(2817769000)","19,350","19,350","822","1,608","2,340","2,116","2,731","3,643","3,449","1,691","842","105","3"
"인천광역시 미추홀구 관교동(2817770000)","14,233","14,233","637","1,226","1,629","1,558","2,068","2,468","2,633","1,347","557","107","3"
"인천광역시 미추홀구 문학동(2817771000)","13,889","13,889","623","1,114","1,674","1,774","2,646","2,814","1,908","868","410","58","0"
