±¸ºÐ,Ç×¸ñ,´ÜÀ§,2010.01 ¿ù,2010.02 ¿ù,2010.03 ¿ù,2010.04 ¿ù,2010.05 ¿ù,2010.06 ¿ù,2010.07 ¿ù,2010.08 ¿ù,2010.09 ¿ù,2010.10 ¿ù,2010.11 ¿ù,2010.12 ¿ù,2011.01 ¿ù,2011.02 ¿ù,2011.03 ¿ù,2011.04 ¿ù,2011.05 ¿ù,2011.06 ¿ù,2011.07 ¿ù,2011.08 ¿ù,2011.09 ¿ù,2011.10 ¿ù,2011.11 ¿ù,2011.12 ¿ù,2012.01 ¿ù,2012.02 ¿ù,2012.03 ¿ù,2012.04 ¿ù,2012.05 ¿ù,2012.06 ¿ù,2012.07 ¿ù,2012.08 ¿ù,2012.09 ¿ù,2012.10 ¿ù,2012.11 ¿ù,2012.12 ¿ù,2013.01 ¿ù,2013.02 ¿ù,2013.03 ¿ù,2013.04 ¿ù,2013.05 ¿ù,2013.06 ¿ù,2013.07 ¿ù,2013.08 ¿ù,2013.09 ¿ù,2013.10 ¿ù,2013.11 ¿ù,2013.12 ¿ù,2014.01 ¿ù,2014.02 ¿ù,2014.03 ¿ù,2014.04 ¿ù,2014.05 ¿ù,2014.06 ¿ù,2014.07 ¿ù,2014.08 ¿ù,2014.09 ¿ù,2014.10 ¿ù,2014.11 ¿ù,2014.12 ¿ù,2015.01 ¿ù,2015.02 ¿ù,2015.03 ¿ù,2015.04 ¿ù,2015.05 ¿ù,2015.06 ¿ù,2015.07 ¿ù,2015.08 ¿ù,2015.09 ¿ù,2015.10 ¿ù,2015.11 ¿ù,2015.12 ¿ù,2016.01 ¿ù,2016.02 ¿ù,2016.03 ¿ù,2016.04 ¿ù,2016.05 ¿ù,2016.06 ¿ù,2016.07 ¿ù,2016.08 ¿ù,2016.09 ¿ù,2016.10 ¿ù,2016.11 ¿ù,2016.12 ¿ù,2017.01 ¿ù,2017.02 ¿ù,2017.03 ¿ù,2017.04 ¿ù,2017.05 ¿ù,2017.06 ¿ù,2017.07 ¿ù,2017.08 ¿ù,2017.09 ¿ù,2017.10 ¿ù,2017.11 ¿ù,2017.12 ¿ù,2018.01 ¿ù,2018.02 ¿ù,2018.03 ¿ù,2018.04 ¿ù,2018.05 ¿ù,2018.06 ¿ù,2018.07 ¿ù,2018.08 ¿ù,2018.09 ¿ù,2018.10 ¿ù,2018.11 ¿ù,2018.12 ¿ù,2019.01 ¿ù,2019.02 ¿ù,2019.03 ¿ù,2019.04 ¿ù,2019.05 ¿ù,2019.06 ¿ù,2019.07 ¿ù,2019.08 ¿ù,2019.09 ¿ù,2019.10 ¿ù,2019.11 ¿ù,2019.12 ¿ù,2020.01 ¿ù,2020.02 ¿ù,2020.03 ¿ù,2020.04 ¿ù,2020.05 ¿ù,2020.06 ¿ù,2020.07 ¿ù,2020.08 ¿ù,2020.09 ¿ù,2020.10 ¿ù,2020.11 ¿ù,2020.12 ¿ù,2021.01 ¿ù,2021.02 ¿ù,2021.03 ¿ù,2021.04 ¿ù,2021.05 ¿ù,2021.06 ¿ù,2021.07 ¿ù,2021.08 ¿ù,2021.09 ¿ù,2021.10 ¿ù,2021.11 ¿ù,2021.12 ¿ù,2022.01 ¿ù,2022.02 ¿ù,2022.03 ¿ù,2022.04 ¿ù,2022.05 ¿ù,2022.06 ¿ù,2022.07 ¿ù,2022.08 ¿ù,2022.09 ¿ù,2022.10 ¿ù,2022.11 ¿ù,2022.12 ¿ù,2023.01 ¿ù,2023.02 ¿ù,2023.03 ¿ù,2023.04 ¿ù,2023.05 ¿ù,2023.06 ¿ù,2023.07 ¿ù,2023.08 ¿ù,2023.09 ¿ù,2023.10 ¿ù,2023.11 ¿ù,2023.12 ¿ù,2024.01 ¿ù,2024.02 ¿ù,2024.03 ¿ù,2024.04 ¿ù,2024.05 ¿ù,2024.06 ¿ù
¼­¿ïÆ¯º°½Ã,¿ùÆò±Õ,,0.011,0.016,0.024,0.026,0.03,0.033,0.023,0.018,0.015,0.014,0.013,0.01,0.013,0.012,0.026,0.028,0.028,0.031,0.017,0.018,0.021,0.014,0.012,0.01,0.011,0.015,0.025,0.026,0.034,0.036,0.021,0.024,0.021,0.017,0.012,0.011,0.012,0.018,0.023,0.031,0.034,0.033,0.024,0.027,0.023,0.017,0.012,0.009,0.009,0.016,0.025,0.028,0.041,0.037,0.033,0.025,0.023,0.017,0.012,0.012,0.011,0.016,0.022,0.028,0.033,0.038,0.027,0.029,0.025,0.019,0.012,0.009,0.014,0.018,0.025,0.031,0.039,0.037,0.025,0.03,0.027,0.018,0.014,0.009,0.035,0.018,0.038,0.035,0.039,0.041,0.03,0.024,0.027,0.02,0.014,0.011,0.014,0.018,0.026,0.031,0.034,0.035,0.024,0.03,0.027,0.018,0.011,0.012,0.012,0.018,0.028,0.029,0.043,0.039,0.031,0.03,0.024,0.021,0.013,0.011,0.014,0.018,0.027,0.036,0.034,0.044,0.031,0.019,0.028,0.022,0.015,0.014,0.015,0.022,0.025,0.037,0.036,0.041,0.038,0.034,0.031,0.022,0.018,0.014,0.016,0.026,0.028,0.043,0.049,0.036,0.037,0.03,0.031,0.023,0.018,0.015,0.0158,0.022,0.0334,0.0381,0.0419,0.0483,0.0371,0.0346,0.0326,0.0264,0.0228,0.0176,0.0187,0.0247,0.0347,0.0425,0.0443,0.0548
ºÎ»ê±¤¿ª½Ã,¿ùÆò±Õ,,0.021,0.024,0.031,0.033,0.036,0.035,0.022,0.02,0.024,0.029,0.02,0.018,0.023,0.024,0.032,0.038,0.033,0.031,0.02,0.025,0.028,0.027,0.02,0.019,0.022,0.022,0.033,0.038,0.041,0.034,0.026,0.027,0.032,0.028,0.022,0.018,0.022,0.025,0.034,0.04,0.04,0.032,0.024,0.029,0.028,0.028,0.023,0.02,0.021,0.027,0.033,0.037,0.043,0.036,0.029,0.027,0.03,0.028,0.02,0.02,0.02,0.026,0.032,0.036,0.038,0.036,0.028,0.033,0.031,0.028,0.02,0.018,0.022,0.027,0.031,0.038,0.045,0.036,0.025,0.036,0.03,0.025,0.02,0.018,0.024,0.031,0.022,0.042,0.044,0.041,0.028,0.027,0.033,0.03,0.023,0.02,0.021,0.027,0.034,0.039,0.039,0.038,0.026,0.025,0.031,0.028,0.02,0.019,0.023,0.029,0.039,0.037,0.048,0.038,0.028,0.03,0.028,0.029,0.023,0.018,0.023,0.027,0.034,0.044,0.041,0.04,0.028,0.026,0.035,0.033,0.023,0.022,0.025,0.031,0.036,0.043,0.041,0.041,0.028,0.034,0.036,0.031,0.027,0.021,0.024,0.035,0.037,0.041,0.05,0.034,0.031,0.03,0.034,0.032,0.027,0.022,0.0236,0.028,0.0387,0.0436,0.0423,0.0417,0.0264,0.0304,0.0303,0.034,0.0278,0.0253,0.0245,0.0314,0.0413,0.0403,0.0437,0.0424
´ë±¸±¤¿ª½Ã,¿ùÆò±Õ,,0.014,0.018,0.025,0.03,0.034,0.039,0.022,0.022,0.018,0.016,0.013,0.013,0.019,0.017,0.029,0.039,0.038,0.041,0.021,0.021,0.026,0.018,0.015,0.014,0.016,0.02,0.032,0.038,0.04,0.037,0.028,0.026,0.025,0.018,0.015,0.013,0.015,0.019,0.029,0.036,0.042,0.038,0.026,0.028,0.024,0.019,0.014,0.013,0.014,0.021,0.028,0.036,0.046,0.041,0.032,0.025,0.026,0.018,0.012,0.014,0.013,0.019,0.027,0.034,0.044,0.042,0.03,0.031,0.025,0.023,0.014,0.011,0.015,0.022,0.028,0.035,0.042,0.037,0.028,0.033,0.025,0.018,0.013,0.012,0.028,0.024,0.024,0.04,0.044,0.047,0.031,0.028,0.029,0.02,0.016,0.015,0.017,0.023,0.03,0.038,0.041,0.043,0.03,0.026,0.025,0.02,0.012,0.013,0.017,0.024,0.036,0.036,0.048,0.044,0.03,0.03,0.025,0.022,0.017,0.014,0.018,0.023,0.03,0.04,0.04,0.045,0.027,0.023,0.028,0.026,0.017,0.017,0.02,0.025,0.032,0.043,0.04,0.045,0.031,0.031,0.029,0.024,0.019,0.017,0.021,0.032,0.036,0.044,0.055,0.041,0.035,0.028,0.029,0.027,0.02,0.018,0.0193,0.0245,0.0381,0.0417,0.044,0.0453,0.0305,0.0291,0.0282,0.0265,0.0237,0.0208,0.0215,0.0277,0.0379,0.0418,0.0475,0.0502
ÀÎÃµ±¤¿ª½Ã,¿ùÆò±Õ,,0.014,0.018,0.025,0.027,0.029,0.032,0.021,0.019,0.018,0.018,0.016,0.013,0.017,0.016,0.027,0.028,0.028,0.031,0.019,0.02,0.025,0.02,0.014,0.013,0.016,0.02,0.027,0.03,0.036,0.035,0.021,0.026,0.026,0.022,0.015,0.014,0.015,0.02,0.026,0.034,0.037,0.034,0.026,0.03,0.026,0.021,0.016,0.014,0.014,0.021,0.03,0.034,0.043,0.035,0.033,0.026,0.025,0.019,0.016,0.014,0.015,0.02,0.024,0.029,0.036,0.039,0.029,0.031,0.028,0.024,0.014,0.012,0.017,0.021,0.026,0.031,0.041,0.037,0.025,0.029,0.029,0.02,0.017,0.013,0.027,0.023,0.03,0.035,0.038,0.037,0.028,0.025,0.03,0.024,0.017,0.014,0.017,0.022,0.027,0.032,0.034,0.034,0.021,0.031,0.029,0.022,0.016,0.016,0.017,0.023,0.033,0.033,0.046,0.041,0.032,0.037,0.026,0.024,0.017,0.015,0.02,0.023,0.032,0.041,0.039,0.044,0.034,0.021,0.032,0.028,0.02,0.019,0.018,0.026,0.03,0.04,0.042,0.044,0.041,0.036,0.032,0.026,0.022,0.017,0.02,0.029,0.03,0.041,0.048,0.036,0.038,0.032,0.035,0.027,0.022,0.019,0.0194,0.0266,0.0384,0.0411,0.0424,0.0485,0.0378,0.0339,0.0338,0.0309,0.0258,0.0208,0.0224,0.0272,0.0369,0.0417,0.0428,0.0496
±¤ÁÖ±¤¿ª½Ã,¿ùÆò±Õ,,0.017,0.019,0.026,0.031,0.039,0.037,0.024,0.022,0.022,0.022,0.015,0.016,0.02,0.02,0.03,0.038,0.038,0.038,0.022,0.024,0.025,0.021,0.016,0.015,0.017,0.022,0.032,0.038,0.042,0.037,0.025,0.024,0.029,0.024,0.019,0.018,0.02,0.024,0.033,0.041,0.043,0.041,0.028,0.031,0.031,0.023,0.018,0.016,0.017,0.024,0.031,0.04,0.048,0.043,0.032,0.027,0.021,0.023,0.018,0.017,0.017,0.026,0.031,0.035,0.044,0.042,0.032,0.028,0.031*,0.028,0.014,0.014,0.02,0.029,0.033,0.039,0.046,0.039,0.03,0.037,0.03,0.019,0.018,0.016,0.023,0.029,0.025,0.041,0.042,0.044,0.031,0.03,0.033,0.024,0.017,0.017,0.02,0.026,0.033,0.036,0.039,0.041,0.022,0.027,0.029,0.024,0.015,0.018,0.021,0.028,0.036,0.036,0.048,0.039,0.029,0.031,0.027,0.025,0.021,0.019,0.022,0.027,0.033,0.043,0.041,0.04,0.028,0.021,0.029,0.028,0.021,0.018,0.021,0.028,0.036,0.045,0.047,0.048,0.033,0.03,0.035,0.031,0.024,0.022,0.025,0.036,0.037,0.042,0.05,0.04,0.036,0.029,0.031,0.03,0.024,0.021,0.0233,0.028,0.0397,0.0434,0.0432,0.0466,0.0296,0.0323,0.032,0.0315,0.0266,0.0238,0.026,0.0307,0.0397,0.0409,0.0447,0.0455
´ëÀü±¤¿ª½Ã,¿ùÆò±Õ,,0.011,0.015,0.023,0.027,0.037,0.037,0.024,0.022,0.018,0.016,0.015,0.012,0.014,0.016,0.03,0.034,0.031,0.034,0.018,0.022,0.021,0.016,0.014,0.012,0.013,0.018,0.029,0.034,0.042,0.036,0.027,0.023,0.025,0.018,0.015,0.011,0.013,0.02,0.028,0.035,0.039,0.038,0.026,0.027,0.023,0.018,0.013,0.011,0.011,0.019,0.027,0.034,0.05,0.041,0.033,0.026,0.026,0.019,0.012,0.012,0.011,0.021,0.027,0.029,0.04,0.041,0.031,0.03,0.026,0.021,0.011,0.009,0.014,0.02,0.025,0.038,0.048,0.047,0.032,0.039,0.03,0.02,0.012,0.012,0.024,0.023,0.021,0.043,0.047,0.05,0.03,0.025,0.03,0.021,0.017,0.015,0.016,0.023,0.032,0.039,0.045,0.046,0.028,0.031,0.027,0.018,0.011,0.011,0.013,0.016,0.028,0.03,0.045,0.038,0.028,0.029,0.025,0.02,0.016,0.013,0.015,0.019,0.029,0.038,0.037,0.048,0.03,0.022,0.032,0.025,0.017,0.015,0.016,0.027,0.029,0.04,0.04,0.043,0.031,0.033,0.033,0.024,0.021,0.018,0.019,0.03,0.032,0.042,0.05,0.041,0.035,0.027,0.028,0.023,0.018,0.015,0.0172,0.0235,0.0365,0.0395,0.0405,0.0476,0.0299,0.0319,0.0293,0.0271,0.024,0.0199,0.0195,0.0256,0.0368,0.0417,0.0425,0.0487
¿ï»ê±¤¿ª½Ã,¿ùÆò±Õ,,0.018,0.021,0.026,0.028,0.032,0.028,0.02,0.021,0.022,0.025,0.017,0.017,0.021,0.022,0.03,0.033,0.033,0.032,0.02,0.022,0.026,0.024,0.017,0.018,0.02,0.021,0.03,0.035,0.039,0.031,0.026,0.024,0.029,0.024,0.021,0.018,0.022,0.025,0.032,0.038,0.038,0.03,0.027,0.033,0.027,0.026,0.021,0.018,0.02,0.025,0.031,0.036,0.042,0.035,0.029,0.027,0.027,0.025,0.018,0.018,0.019,0.024,0.029,0.034,0.04,0.035,0.027,0.034,0.029,0.026,0.019,0.016,0.02,0.026,0.028,0.035,0.041,0.034,0.025,0.033,0.027,0.023,0.019,0.018,0.024,0.028,0.025,0.042,0.041,0.039,0.031,0.027,0.032,0.028,0.022,0.021,0.023,0.03,0.033,0.036,0.035,0.033,0.028,0.023,0.031,0.027,0.021,0.021,0.025,0.03,0.039,0.037,0.047,0.038,0.028,0.029,0.027,0.029,0.023,0.02,0.025,0.028,0.035,0.043,0.041,0.039,0.028,0.026,0.034,0.034,0.024,0.025,0.026,0.034,0.037,0.042,0.041,0.04,0.027,0.032,0.033,0.032,0.028,0.024,0.027,0.036,0.039,0.043,0.051,0.035,0.03,0.031,0.034,0.032,0.029,0.025,0.027,0.0308,0.0396,0.0417,0.0412,0.0408,0.0278,0.0282,0.0307,0.0341,0.0292,0.0274,0.0269,0.033,0.0417,0.039,0.0416,0.0421
¼¼Á¾Æ¯º°ÀÚÄ¡½Ã,¿ùÆò±Õ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.025,0.03,0.039,0.047,0.043,0.029,0.037,0.027,0.018,0.014,0.012,0.027,0.025,0.024,0.042,0.047,0.052,0.033,0.027,0.027,0.02,0.017,0.014,0.015,0.022,0.032,0.04,0.043,0.046,0.029,0.031,0.027,0.019,0.011,0.012,0.014,0.02,0.034,0.036,0.051,0.044,0.031,0.031,0.025,0.021,0.016,0.013,0.016,0.021,0.032,0.042,0.044,0.05,0.032,0.023,0.032,0.024,0.019,0.016,0.018,0.03,0.034,0.045,0.042,0.047,0.034,0.033,0.031,0.024,0.021,0.017,0.02,0.032,0.036,0.047,0.054,0.044,0.035,0.026,0.029,0.023,0.018,0.016,0.018,0.0229,0.0372,0.04,0.0402,0.0461,0.0304,0.0318,0.0289,0.0246,0.0231,0.0199,0.0187,0.02,0.0276,0.0278,0.028,0.0386
¼ö¿ø,¿ùÆò±Õ,,0.009,0.014,0.021,0.025,0.032,0.033,0.024,0.019,0.017,0.015,0.014,0.01,0.011,0.013,0.026,0.029,0.03,0.035,0.02,0.02,0.022,0.014,0.012,0.01,0.011,0.014,0.024,0.03,0.036,0.037,0.023,0.026,0.021,0.017,0.012,0.009,0.01,0.015,0.022,0.033,0.036,0.035,0.027,0.027,0.022,0.017,0.011,0.009,0.008,0.013,0.024,0.028,0.041,0.038,0.035,0.026,0.023,0.017,0.011,0.01,0.01,0.016,0.022,0.028,0.036,0.041,0.03,0.031,0.028,0.017,0.011,0.008,0.011,0.016,0.023,0.031,0.039,0.04,0.026,0.032,0.025,0.015,0.012,0.008,0.041,0.016,0.042,0.031,0.036,0.038,0.028*,0.023,0.025,0.018,0.014,0.01,0.012,0.017,0.026,0.031,0.037,0.037,0.028,0.031,0.025,0.017,0.01,0.01,0.01,0.015,0.025,0.03,0.049,0.044,0.033,0.036,0.024,0.019,0.012,0.008,0.011,0.016,0.024,0.038,0.039,0.047,0.033,0.022,0.031,0.022,0.015,0.013,0.014,0.022,0.027,0.039,0.041,0.044,0.039,0.035,0.032,0.022,0.018,0.013,0.014,0.025,0.028,0.044,0.05,0.037,0.037,0.029,0.03,0.022,0.016,0.013,0.0156,0.0198,0.032,0.0384,0.0417,0.0489,0.0365,0.0341,0.0311,0.0251,0.0222,0.0173,0.0178,0.0232,0.0344,0.041,0.0409,0.0503
¾È¾ç,¿ùÆò±Õ,,0.01,0.013,0.019,0.022,0.028,0.028,0.023,0.017,0.015,0.014,0.014,0.01,0.012,0.013,0.022,0.025,0.026,0.03,0.02,0.02,0.022,0.013,0.012,0.011,0.011,0.015,0.026,0.029,0.035,0.04,0.027,0.028,0.021,0.018,0.012,0.01,0.012,0.016,0.022,0.031,0.036,0.035,0.031,0.029,0.02,0.016,0.012,0.009,0.01,0.015,0.025,0.031,0.042,0.035,0.032,0.024,0.021,0.017,0.013,0.011,0.011,0.016,0.02,0.026,0.033,0.038,0.028**,0.026,0.021,0.017,0.011,0.008,0.012,0.017,0.024,0.03,0.039,0.038,0.03,0.035,0.027,0.016,0.013,0.008,0.03,0.017,0.036,0.034,0.04,0.041,0.032,0.024,0.024,0.017,0.013,0.01,0.012,0.017,0.027,0.03,0.035,0.036,0.025,0.029,0.024,0.014,0.009,0.01,0.01,0.015,0.024,0.026,0.043,0.039,0.034,0.034,0.022,0.019,0.012,0.01,0.012,0.019,0.028,0.038,0.038,0.049,0.035,0.022,0.028,0.021,0.015,0.013,0.014,0.022,0.025,0.037,0.036,0.041,0.038,0.033,0.03,0.021,0.017,0.013,0.015,0.025,0.027,0.042,0.048,0.04,0.038,0.031,0.031,0.023,0.017,0.014,0.0147,0.0194,0.032,0.0369,0.0405,0.0468,0.039,0.035,0.0305,0.0251,0.0214,0.0171,0.0172,0.0232,0.0327,0.0419,0.0446,0.0544
