year,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
2000,61.2,61.4,59.6,58.9,61.5,57.1,57.6,60.1,0.0,62.2,58.8,60.1,62.8,58.4,64.1,65.2,61.0,68.0
2001,61.5,61.7,59.3,59.9,62.0,57.8,59.1,60.1,0.0,62.2,58.0,59.9,63.1,59.3,64.8,65.2,61.6,68.2
2002,62.1,62.2,60.5,61.1,62.6,58.9,60.8,61.5,0.0,62.5,59.7,60.4,63.8,58.6,65.8,65.3,61.5,69.4
2003,61.6,62.1,57.6,60.4,61.9,57.5,59.5,61.2,0.0,61.9,58.4,59.3,63.5,59.1,65.8,65.0,63.1,70.8
2004,62.3,63.2,58.2,61.3,62.0,57.9,59.5,61.9,0.0,62.9,59.2,60.0,64.7,59.0,65.7,65.7,63.6,70.3
2005,62.2,63.6,58.4,60.9,61.7,58.6,58.4,61.0,0.0,62.9,58.6,59.7,64.4,58.9,65.7,65.2,62.6,70.6
2006,62.2,63.4,58.5,60.1,62.2,58.1,58.8,59.8,0.0,62.9,59.1,59.6,65.6,59.4,65.0,65.0,62.3,70.6
2007,62.2,63.4,58.4,59.4,62.5,59.0,59.2,61.1,0.0,62.6,58.7,60.0,66.1,60.1,65.1,64.3,62.6,69.7
2008,61.7,62.5,57.5,58.6,61.7,58.6,59.4,62.4,0.0,62.5,58.6,60.4,63.6,59.8,65.1,64.0,62.8,69.2
2009,61.0,61.2,56.6,58.9,62.0,58.6,58.9,61.2,0.0,61.5,58.8,60.4,62.2,59.0,65.1,63.7,62.0,68.2
2010,61.1,62.1,56.3,59.4,62.8,59.0,58.6,61.2,0.0,61.7,57.5,60.8,62.1,58.3,63.6,64.1,61.4,66.3
2011,61.3,62.9,56.6,59.0,63.7,58.4,59.0,61.4,0.0,61.5,57.5,61.0,62.4,58.9,63.5,63.5,62.1,67.1
2012,61.6,62.6,58.2,60.4,64.5,57.9,59.5,61.3,0.0,61.8,58.3,60.0,63.0,58.7,64.2,63.8,61.3,67.7
2013,61.7,62.3,58.4,59.9,63.9,58.9,59.3,60.3,0.0,62.1,57.6,61.2,64.4,59.8,64.0,64.1,61.6,67.7
2014,62.7,63.3,59.0,61.0,64.3,60.5,61.2,59.9,0.0,63.7,58.7,63.9,64.5,59.8,64.0,65.1,61.7,68.7
2015,62.8,62.6,58.7,61.6,64.4,60.3,61.7,60.8,0.0,64.2,59.8,64.0,64.5,60.2,64.4,64.3,62.2,69.8
2016,62.9,62.6,58.5,61.9,64.9,59.9,61.7,61.3,0.0,64.2,59.9,63.7,63.7,61.2,64.6,64.4,62.7,70.8
2017,63.2,63.1,59.0,61.2,64.7,60.8,61.0,61.9,62.7,64.6,62.6,64.0,64.1,60.1,64.1,64.2,62.7,72.3
2018,63.1,62.6,58.1,60.9,65.7,61.7,61.3,61.8,63.2,64.4,62.5,64.9,65.6,59.9,64.2,64.2,63.3,69.8
2019,63.3,62.7,58.8,60.2,65.4,61.5,62.4,61.7,64.3,64.3,64.6,64.9,65.6,61.0,65.1,64.2,63.7,69.9
2020,62.5,62.1,58.1,58.9,64.2,61.0,63.4,60.7,64.5,62.8,63.3,65.3,64.6,61.5,65.4,63.7,63.1,68.8
2021,62.8,62.3,58.2,60.5,63.9,60.3,63.0,59.8,64.0,63.5,63.7,65.0,64.5,62.6,66.2,63.0,63.2,69.6
2022,63.9,62.5,58.9,60.9,64.8,60.4,63.1,61.1,65.0,65.7,63.9,66.5,65.8,63.7,67.8,64.5,63.1,71.4
2023,64.3,62.8,59.6,61.7,65.2,61.6,63.4,61.9,65.9,65.7,65.1,67.0,66.5,64.9,68.4,65.2,63.6,70.6
2024,64.5,63.7,59.6,60.0,65.6,62.5,62.5,62.1,66.4,65.8,65.3,67.4,66.7,65.4,67.9,65.7,63.6,71.0
