year,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
2000,58.5,58.2,55.4,56.0,58.2,53.4,54.8,57.6,0.0,59.8,57.3,57.9,61.1,56.5,62.0,63.0,58.9,66.1
2001,59.0,58.8,55.9,57.0,59.1,54.9,56.5,58.1,0.0,60.0,56.7,57.8,61.3,57.4,62.9,63.5,59.5,66.5
2002,60.1,59.5,58.2,58.5,60.1,56.6,58.5,60.0,0.0,60.8,58.6,58.9,62.1,57.2,64.3,63.9,60.0,67.8
2003,59.4,59.3,55.3,57.7,59.2,54.8,57.2,59.2,0.0,59.8,57.2,57.4,61.7,57.5,64.3,63.6,61.5,69.5
2004,60.0,60.3,55.6,58.7,59.2,55.4,57.0,59.8,0.0,60.7,58.0,58.4,63.2,57.4,64.1,63.9,62.1,68.6
2005,59.9,60.5,55.9,58.3,58.9,56.0,55.8,59.0,0.0,60.5,57.6,58.3,62.7,57.5,64.2,63.6,61.0,68.9
2006,60.0,60.5,56.1,57.9,59.5,55.7,56.2,58.1,0.0,60.7,58.3,58.3,63.9,57.8,63.9,63.5,60.8,69.1
2007,60.1,60.8,56.1,57.3,60.0,56.7,56.7,59.6,0.0,60.5,57.6,58.6,64.6,58.7,64.0,62.9,61.1,68.2
2008,59.8,60.1,55.3,56.5,59.3,56.4,57.2,60.3,0.0,60.5,57.6,59.1,62.1,58.4,63.8,62.7,61.4,68.0
2009,58.8,58.5,54.2,56.4,59.2,56.4,56.7,58.7,0.0,59.2,57.5,59.1,60.2,57.8,64.1,62.0,60.1,67.1
2010,58.9,59.2,54.3,57.0,59.6,56.9,56.4,59.1,0.0,59.2,56.0,59.5,60.2,57.0,62.3,62.3,59.7,65.2
2011,59.3,60.0,54.5,56.8,60.7,56.6,56.9,59.8,0.0,59.3,56.2,59.5,61.0,57.6,62.3,61.9,60.7,66.0
2012,59.6,59.9,55.9,58.4,61.6,56.4,57.3,59.8,0.0,59.8,56.9,58.8,61.5,57.5,63.2,62.2,60.2,66.7
2013,59.8,59.9,56.1,57.9,61.3,57.2,57.5,59.0,0.0,60.2,56.3,60.0,62.7,58.6,62.6,62.1,60.3,66.4
2014,60.5,60.5,56.7,58.7,61.3,58.8,59.1,58.3,0.0,61.6,56.9,62.0,62.4,58.3,62.2,63.2,60.2,67.3
2015,60.5,60.0,56.3,59.4,61.1,58.5,59.6,59.0,0.0,61.7,57.9,62.4,62.3,59.2,62.8,62.4,60.6,68.5
2016,60.6,60.0,56.2,59.3,61.8,58.1,59.7,59.0,0.0,61.7,58.2,62.0,61.7,59.9,62.7,62.4,60.6,69.3
2017,60.8,60.2,56.3,58.8,61.7,59.0,58.9,59.8,61.2,62.1,61.0,62.6,62.3,58.6,62.1,62.5,60.9,70.9
2018,60.7,59.6,55.7,58.2,62.9,59.4,58.7,59.0,61.8,62.0,60.7,63.3,63.5,58.3,62.4,61.6,61.4,68.4
2019,60.9,60.0,56.6,57.9,62.5,59.3,59.8,59.1,62.5,61.9,62.3,62.9,63.7,59.3,63.4,61.7,61.3,68.4
2020,60.1,59.3,55.6,56.6,61.3,58.7,60.7,58.1,62.7,60.3,60.8,63.2,62.4,59.9,63.9,61.1,60.6,67.1
2021,60.5,59.2,56.2,58.2,61.3,58.2,60.9,57.7,62.6,61.1,61.4,63.3,63.0,61.2,64.6,61.0,60.7,67.4
2022,62.1,60.4,57.1,59.1,62.7,58.6,61.6,59.2,63.7,63.9,61.8,64.9,64.3,62.2,66.3,62.9,61.1,69.9
2023,62.6,61.1,57.7,59.8,63.1,60.1,61.6,59.7,64.6,64.0,63.3,65.4,64.8,63.3,66.9,63.5,62.0,69.2
2024,62.7,61.7,57.8,58.0,63.5,60.6,60.6,59.8,65.2,64.1,63.5,65.9,64.8,63.8,66.1,64.0,62.1,69.3
