year,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
2000,14041,3097,1192,803,729,445,449,302,0,2571,482,459,542,621,568,756,900,126
2001,14097,3087,1201,787,731,445,440,308,0,2671,492,465,540,605,550,753,895,126
2002,14032,3055,1160,766,731,441,429,302,0,2771,473,459,530,610,525,749,907,123
2003,14368,3072,1242,784,754,462,452,309,0,2934,488,474,537,597,516,751,880,118
2004,14228,2999,1223,769,757,463,458,307,0,2953,479,466,527,592,507,732,875,122
2005,14401,2982,1214,775,774,459,476,318,0,3045,486,472,541,588,502,742,906,121
2006,14608,3028,1214,792,777,468,479,333,0,3125,482,477,535,582,512,752,928,123
2007,14829,3063,1218,810,791,465,483,327,0,3253,489,479,539,573,508,772,933,128
2008,15225,3167,1247,832,828,477,487,324,0,3349,494,482,593,581,508,782,944,131
2009,15719,3302,1275,832,834,486,499,339,0,3522,498,488,631,597,509,792,979,137
2010,15868,3233,1286,828,831,490,510,344,0,3597,519,490,648,615,533,789,"1,011",147
2011,15998,3182,1288,844,827,505,511,348,0,3701,523,497,655,615,540,811,"1,007",146
2012,16076,3215,1242,821,824,515,512,356,0,3740,518,517,660,625,534,811,"1,040",147
2013,16196,3236,1239,834,852,508,520,372,0,3787,532,507,647,615,542,812,"1,043",150
2014,15959,3163,1225,815,858,491,500,383,0,3692,523,479,662,621,547,795,"1,055",150
2015,16086,3220,1238,805,867,498,494,380,0,3712,515,484,684,621,545,820,"1,055",149
2016,16187,3211,1247,802,863,504,496,378,0,3781,517,495,721,609,545,823,"1,049",150
2017,16183,3161,1226,817,878,494,505,372,79,3806,484,495,657,627,553,828,"1,055",146
2018,16287,3186,1247,824,858,483,500,371,88,3901,488,487,639,629,551,828,"1,044",164
2019,16318,3159,1219,838,876,486,485,370,96,4008,462,492,647,610,536,830,"1,037",168
2020,16773,3223,1237,859,910,497,471,379,102,4263,480,489,667,600,528,842,"1,052",176
2021,16770,3221,1234,825,920,508,477,386,107,4273,478,496,672,582,516,855,"1,049",173
2022,16339,3171,1209,812,906,507,475,372,108,4075,478,478,653,564,491,826,"1,051",164
2023,16204,3150,1184,800,914,491,474,365,110,4102,463,474,645,545,482,802,"1,035",171
2024,16172,3078,1181,838,918,480,488,362,108,4133,460,470,650,536,488,784,"1,032",168
