year,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
2000,4.4,5.1,7.1,4.9,5.4,6.5,4.8,4.3,0.0,3.9,2.6,3.6,2.8,3.1,3.3,3.4,3.5,2.7
2001,4.0,4.8,5.7,4.8,4.7,5.1,4.5,3.4,0.0,3.5,2.3,3.4,2.9,3.2,3.0,2.7,3.3,2.5
2002,3.3,4.3,3.9,4.2,4.0,3.8,3.8,2.5,0.0,2.8,1.8,2.5,2.7,2.5,2.3,2.2,2.5,2.2
2003,3.6,4.6,4.1,4.4,4.4,4.6,3.8,3.2,0.0,3.4,2.0,3.1,2.9,2.7,2.3,2.2,2.5,1.9
2004,3.7,4.7,4.4,4.2,4.5,4.3,4.2,3.5,0.0,3.6,2.1,2.7,2.4,2.8,2.4,2.6,2.4,2.4
2005,3.7,4.8,4.4,4.3,4.5,4.4,4.5,3.4,0.0,3.8,1.8,2.3,2.7,2.5,2.3,2.5,2.6,2.5
2006,3.5,4.6,4.2,3.7,4.4,4.2,4.5,2.8,0.0,3.5,1.3,2.2,2.5,2.6,1.7,2.4,2.3,2.1
2007,3.2,4.1,4.0,3.6,4.0,4.0,4.1,2.5,0.0,3.3,1.9,2.3,2.4,2.4,1.8,2.1,2.4,2.1
2008,3.2,3.9,3.8,3.7,3.9,3.8,3.7,3.4,0.0,3.2,1.7,2.2,2.5,2.2,2.0,2.1,2.2,1.8
2009,3.6,4.5,4.3,4.3,4.5,3.8,3.7,4.1,0.0,3.8,2.1,2.1,3.1,2.0,1.6,2.7,3.1,1.6
2010,3.7,4.7,3.6,4.0,5.0,3.5,3.7,3.5,0.0,4.0,2.6,2.2,3.0,2.2,2.1,2.8,2.8,1.8
2011,3.4,4.5,3.6,3.7,4.7,3.1,3.6,2.7,0.0,3.4,2.2,2.4,2.4,2.3,2.0,2.6,2.2,1.7
2012,3.2,4.2,3.9,3.3,4.5,2.7,3.7,2.6,0.0,3.3,2.5,2.0,2.3,2.0,1.6,2.5,1.8,1.5
2013,3.1,3.9,3.8,3.3,4.1,2.8,3.0,2.1,0.0,3.0,2.3,2.0,2.8,2.0,2.1,3.1,2.1,1.8
2014,3.5,4.4,3.8,3.8,4.7,2.8,3.4,2.7,0.0,3.3,3.1,3.0,3.3,2.5,2.9,2.9,2.5,2.0
2015,3.6,4.2,4.1,3.5,5.0,2.9,3.4,2.9,0.0,3.9,3.2,2.6,3.5,1.7,2.5,3.0,2.6,1.9
2016,3.7,4.2,3.9,4.1,4.9,3.1,3.2,3.8,0.0,3.9,2.8,2.6,3.2,2.1,3.0,3.2,3.3,2.2
2017,3.7,4.5,4.6,4.0,4.6,2.9,3.4,3.5,2.3,3.9,2.6,2.2,2.8,2.5,3.2,2.8,2.9,1.9
2018,3.8,4.8,4.1,4.4,4.3,3.8,4.2,4.6,2.3,3.8,2.9,2.4,3.1,2.7,2.8,4.1,3.0,2.0
2019,3.8,4.4,3.7,3.7,4.4,3.7,4.2,4.2,2.7,3.8,3.6,3.1,2.9,2.7,2.6,3.9,3.8,2.1
2020,4.0,4.6,4.2,3.9,4.6,3.9,4.4,4.2,2.8,4.0,3.9,3.2,3.5,2.5,2.4,4.0,4.0,2.5
2021,3.7,4.8,3.4,3.7,4.0,3.6,3.3,3.6,2.1,3.7,3.6,2.5,2.3,2.2,2.3,3.2,4.1,3.1
2022,2.9,3.4,3.0,2.9,3.3,2.9,2.4,3.2,2.0,2.7,3.2,2.5,2.3,2.4,2.2,2.5,3.3,2.1
2023,2.7,2.7,3.1,3.1,3.2,2.5,2.8,3.4,2.0,2.6,2.8,2.3,2.6,2.5,2.2,2.6,2.5,1.9
2024,2.8,3.0,3.0,3.4,3.3,3.0,3.0,3.7,1.9,2.6,2.8,2.2,2.9,2.5,2.7,2.5,2.3,2.3
