RANK_CO,APP_NM,EMPR_CO,BASE_YM
1,YouTube,31430150,201901
2,My oksusu,3966222,201901
3,NAVER NOW,3027665,201901
4,U+모바일tv,2594744,201901
5,Netflix(넷플릭스),1352048,201901
6,seezn(시즌) - 오늘의 즐거운 습관!,1316286,201901
7,BuzzVideo버즈비디오 - 화제의 동영상，재미있는 GIF 및 TV 쇼,1201637,201901
8,Wavve(웨이브),1157539,201901
9,TVING,767673,201901
10,"SBS - 온에어, VOD, 방청",424645,201901
11,"미디어팩 - TV,음악,웹툰을 한 방에!",319633,201901
12,스마트ⓜTV,304331,201901
13,왓챠,297449,201901
14,네이버 시리즈온 - SERIES ON,277763,201901
15,KBS+,267703,201901
16,U+영화월정액,248548,201901
17,모바일 B tv,141441,201901
18,왓챠피디아(WATCHA Pedia),104254,201901
19,JTBC NOW,94099,201901
20,세컨드 TV,73093,201901
21,MBC,61586,201901
22,에브리온TV (무료 실시간 TV),46781,201901
23,SPOTV NOW(스포티비 나우),43423,201901
24,보라매티비,41599,201901
25,다바 티비,30069,201901
26,"dorama - 최신 일본드라마 완전무료 스트리밍, 일드 TV VOD",25968,201901
27,Vimeo,24804,201901
28,"비플릭스(BFLIX) - 추억의 영화, 드라마 감상",24187,201901
29,롯데시네마 VOD,21845,201901
30,헬로tv,20296,201901
31,이지라이브 - 실시간티비,19773,201901
32,MBN 매일방송,16943,201901
33,세상의 모든 동영상 판도라TV - 유튜브 보다 먼저 탄,16456,201901
34,TV편성표,16241,201901
35,CGN_Live,15146,201901
36,올레 tv 모바일 for Tablet,14357,201901
37,"CBS (서비스 종료, CBS 만나로 통합)",12625,201901
38,"Viki: Asian Drama, Movies & TV",11417,201901
39,Dailymotion,11201,201901
40,티벗(TVUT) - TV 참여 APP,10980,201901
41,"프리티비 - 무료tv 드라마,오락/예능,애니,영화,미드 다시보기",9714,201901
42,mobile B tv cable,8166,201901
43,IQIYI,6737,201901
44,EBS play,6726,201901
45,TV조선,6668,201901
46,TV 편성표   실시간 TV 프로그램 편성표,6545,201901
47,Amazon Prime Video,6473,201901
48,IMDb 영화 & TV,6161,201901
49,ArirangTV,6144,201901
50,"씨네폭스 - 영화,드라마,애니,굿다운로드 앱",5978,201901
51,영화의전당V2,5885,201901
52,"실시간TV -전세계TV, 한국TV, 고화질 DMB",5515,201901
53,파파야TV,5296,201901
54,Kodi,5193,201901
55,CATCH ON 캐치온,4620,201901
56,비디오포털VR,4519,201901
57,하이와이파이 HiWiFi,4147,201901
58,레트로TV ( 무료 애니 영화 드라마 웹툰 ),4104,201901
59,탑튜브 for 유튜브,3568,201901
,,49964779,
